Cruise;Station;Haul;Depth_m;O2_mg/L;Chl-a max;Nitrate;Nitrite;Phosphate ;Silicate;ChlA
AL614;1;1;25;2,58;FALSE;;;;;
AL614;1;1;21;2,89;FALSE;;;;;
AL614;1;1;16;5,64;FALSE;;;;;
AL614;1;1;10;9,22;TRUE;0,445;1,386;0;11,819;1,775668316
AL614;1;1;3;9,69;FALSE;;;;;
AL614;5;2;23;7,32;FALSE;;;;;
AL614;5;2;20;7,52;FALSE;;;;;
AL614;5;2;15;6,57;TRUE;1,052;1,692;0;12,827;2,38638665
AL614;5;2;15;7,77;TRUE;1,052;1,692;0;12,827;2,38638665
AL614;5;2;3;9,41;FALSE;;;;;
AL614;11;3;19;7,66;FALSE;;;;;
AL614;11;3;15;7,81;FALSE;;;;;
AL614;11;3;12;8,29;TRUE;1,35;1,202;0;5,666;2,51869165
AL614;11;3;3;9,27;FALSE;;;;;
AL614;16;4;25;7,43;FALSE;;;;;
AL614;16;4;23;7,39;FALSE;;;;;
AL614;16;4;21;7,29;FALSE;;;;;
AL614;16;4;19;7,28;FALSE;;;;;
AL614;16;4;17;7,51;FALSE;;;;;
AL614;16;4;14;8,29;TRUE;0,776;1,438;0,353;5,932;2,494675017
AL614;16;4;12;8,73;FALSE;;;;;
AL614;16;4;10;8,87;FALSE;;;;;
AL614;16;4;8;8,84;FALSE;;;;;
AL614;16;4;6;9,17;FALSE;;;;;
AL614;16;4;4;9,33;FALSE;;;;;
AL614;22;5;24;4,17;FALSE;;;;;
AL614;22;5;18,5;4,22;FALSE;;;;;
AL614;22;5;14;5,71;TRUE;0,8;1,203;0,123;42,593;0,986500017
AL614;22;5;9;9,07;FALSE;;;;;
AL614;22;5;3;9,62;FALSE;;;;;
AL614;25;6;23;6,34;FALSE;;;;;
AL614;25;6;17;6,56;FALSE;;;;;
AL614;25;6;15;7,53;TRUE;0,729;1,693;0,245;19,777;2,07184335
AL614;25;6;12;9,11;FALSE;;;;;
AL614;25;6;3;9,41;FALSE;;;;;
AL614;29;7;22;6,55;FALSE;;;;;
AL614;29;7;20,5;6,41;FALSE;;;;;
AL614;29;7;14;8,4;TRUE;1,165;1,165;0,475;8,592;2,277019982
AL614;29;7;8;9,16;FALSE;;;;;
AL614;29;7;3;9,21;FALSE;;;;;
AL614;38;8;23;9,62;FALSE;;;;;
AL614;38;8;14;10,03;TRUE;0,955;1,585;0;19,033;2,736441648
AL614;38;8;3;10,1;FALSE;;;;;
AL614;42;9;15;9,52;TRUE;1,366;1,168;0;12,876;2,498726648
AL614;42;9;10;9,74;FALSE;;;;;
AL614;42;9;3;9,99;FALSE;;;;;
AL614;44;10;40;6,48;FALSE;;;;;
AL614;44;10;36,6;7,5;FALSE;;;;;
AL614;44;10;19,5;9,26;FALSE;;;;;
AL614;44;10;12,5;9,49;FALSE;;;;;
AL614;44;10;5;10,03;TRUE;1,504;1,524;0,17;6,08;1,559723316
AL614;44;10;5;10,04;FALSE;;;;;
AL614;44;10;3,4;10,1;FALSE;;;;;
AL614;47;11;44,7;7,39;FALSE;;;;;
AL614;47;11;36;8;FALSE;;;;;
AL614;47;11;22,5;8,81;TRUE;1,519;1,165;0;3,657;0,866214983
AL614;47;11;14,8;9,47;FALSE;;;;;
AL614;47;11;14,8;9,46;FALSE;;;;;
AL614;47;11;3;10,4;FALSE;;;;;
AL614;51;12;39,5;6,82;FALSE;;;;;
AL614;51;12;33;6,84;FALSE;;;;;
AL614;51;12;25;7,7;FALSE;;;;;
AL614;51;12;20;8,98;TRUE;1,245;1,643;0;5,682;1,466451649
AL614;51;12;9,5;9,27;FALSE;;;;;
AL614;51;12;3;9,76;FALSE;;;;;
AL614;53;13;11,8;9,27;TRUE;0,69;1,501;0;2,067;0,84719
AL614;53;13;2,7;9,63;FALSE;;;;;
AL614;56;14;32;7,93;FALSE;;;;;
AL614;56;14;20;8,18;FALSE;;;;;
AL614;56;14;10;9,02;TRUE;1,102;1,769;0;9,032;0,963803333
AL614;56;14;3;10,24;FALSE;;;;;
